Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

JP20       IDC14_SM_2MM        713.66mil    1073.78mil        630mil       1310mil        630mil       1310mil  T          0.00 HEADER 7X2     
JP3        SIP4MOLEX          288.898mil    947.512mil    288.898mil   1097.512mil    288.898mil   1097.512mil  T        270.00 SIP4 (PCB TERMINAL)
L28        1210                   752mil   2468.602mil        752mil   2401.102mil        752mil   2401.102mil  B         90.00 1.0uH          
L27        1210                   597mil   2468.602mil        597mil   2536.102mil        597mil   2536.102mil  B        270.00 1.0uH          
L26        1210                   252mil   2468.602mil        252mil   2401.102mil        252mil   2401.102mil  B         90.00 1.0uH          
L25        1210                    97mil   2468.602mil         97mil   2536.102mil         97mil   2536.102mil  B        270.00 1.0uH          
C105       0603w                754.5mil   2302.488mil        722mil   2302.488mil        722mil   2302.488mil  B        360.00 0.1uF          
C104       1206                   887mil   2468.602mil        887mil   2401.102mil        887mil   2401.102mil  B         90.00 10uF           
C98        1206                   387mil   2468.602mil        387mil   2536.102mil        387mil   2536.102mil  B        270.00 10uF           
C95        0603w                251.5mil   2306.102mil        219mil   2306.102mil        219mil   2306.102mil  B        360.00 0.1uF          
R50        0603w             2586.879mil   4229.507mil   2563.898mil   4252.488mil   2563.898mil   4252.488mil  B        315.00 2k             
R51        0603w             2639.083mil   4279.531mil   2616.102mil   4302.512mil   2616.102mil   4302.512mil  B        315.00 2k             
L22        0805                  2066mil       2290mil       2111mil       2290mil       2111mil       2290mil  B        180.00 1.0uH          
L21        0805                  2069mil       2398mil       2024mil       2398mil       2024mil       2398mil  B        360.00 1.0uH          
C84        1206                2086.5mil       2181mil       2019mil       2181mil       2019mil       2181mil  B        360.00 10uF           
C83        0603w               2102.5mil       2485mil       2135mil       2485mil       2135mil       2485mil  B        180.00 0.1uF          
C103       0603w                716.5mil       4145mil        749mil       4145mil        749mil       4145mil  B        180.00 0.1uF          
U2         MSOP10sm          1712.502mil    515.528mil       1619mil        476mil       1619mil        476mil  B        360.00 AD8251         
U20        MSOP08                 389mil     2980.6mil        474mil       3019mil        474mil       3019mil  B        180.00 ADP3336        
R49        0603w                341.5mil       2739mil        374mil       2739mil        374mil       2739mil  B        180.00 93.1K          
R48        0603w                341.5mil       2804mil        309mil       2804mil        309mil       2804mil  B        360.00 107k           
L24        0805                   219mil       2930mil        219mil       2885mil        219mil       2885mil  B         90.00 1.0uH          
L23        0805                   116mil       2930mil        116mil       2975mil        116mil       2975mil  B        270.00 1.0uH          
C102       0603w                341.5mil       2869mil        374mil       2869mil        374mil       2869mil  B        180.00 100pF          
C101       1206                   569mil     3026.5mil        569mil       3094mil        569mil       3094mil  B        270.00 100uF          
C100       1206                 191.5mil       3139mil        259mil       3139mil        259mil       3139mil  B        180.00 10uF           
C99        0603w                201.5mil       2798mil        234mil       2798mil        234mil       2798mil  B        180.00 0.1uF          
U19        MSOP08            1003.052mil   3740.688mil   1088.052mil   3702.288mil   1088.052mil   3702.288mil  T        180.00 AD8675         
C97        0603w             1095.898mil   4353.988mil   1095.898mil   4321.488mil   1095.898mil   4321.488mil  B         90.00 0.1uF          
C96        0603w              886.898mil   4288.988mil    886.898mil   4256.488mil    886.898mil   4256.488mil  B         90.00 0.1uF          
